code	0-15 hours	16-30 hours	31-48 hours	49+ hours
E00000855	13	27	105	28
E00000856	20	33	108	28
E00000857	15	25	67	13
E00000858	11	39	122	30
E00000859	4	15	66	16
E00000860	18	25	105	29
E00000861	24	33	76	19
E00000862	21	43	110	24
E00000863	25	30	97	14
E00000864	20	35	92	32
E00000865	19	38	122	13
E00000866	8	29	89	34
E00000867	19	32	87	19
E00000868	15	25	83	14
E00000869	13	27	73	28
E00000870	11	24	109	21
E00000871	10	32	97	46
E00000872	10	30	80	14
E00000873	26	22	86	34
E00000874	4	10	53	14
E00000875	14	23	66	32
E00000876	21	26	60	49
E00000877	12	25	101	47
E00000878	12	36	96	20
E00000879	20	31	117	12
E00000880	12	27	77	11
E00000881	18	31	89	15
E00000882	10	29	77	14
E00000883	17	25	94	28
E00000884	8	20	72	22
E00000885	17	20	76	18
E00000886	15	29	96	24
E00000887	7	25	74	17
E00000888	6	15	112	34
E00000889	7	22	62	16
E00000890	10	23	92	28
E00000891	13	22	139	24
E00000892	25	35	114	33
E00000893	15	29	141	34
E00000894	13	25	98	21
E00000895	19	32	118	41
E00000896	10	9	73	12
E00000897	15	19	30	12
E00000898	15	35	101	35
E00000899	15	35	122	30
E00000900	19	26	98	27
E00000901	14	22	116	30
E00000902	16	24	92	12
E00000903	6	15	126	32
E00000904	5	13	40	13
E00000905	13	26	103	39
E00000906	12	28	93	32
E00000907	19	34	96	51
E00000908	13	25	114	28
E00000909	21	37	98	34
E00000910	18	40	120	42
E00000911	9	27	159	35
E00000912	22	16	67	14
E00000913	12	14	77	24
E00000914	13	13	73	36
E00000915	14	24	107	38
E00000916	9	25	113	39
E00000917	8	10	49	19
E00000918	7	15	91	34
E00000919	17	28	141	44
E00000920	19	26	150	42
E00000921	12	32	126	18
E00000922	18	28	114	30
E00000923	5	15	31	8
E00000924	17	21	90	13
E00000925	18	45	103	38
E00000926	21	37	90	50
E00000927	21	24	111	32
E00000928	23	38	80	31
E00000929	25	34	99	31
E00000930	33	41	94	30
E00000931	23	38	87	31
E00000932	22	36	121	42
E00000933	23	37	93	18
E00000934	24	49	84	33
E00000935	16	42	103	24
E00000936	26	29	93	34
E00000937	19	37	94	12
E00000938	23	28	97	18
E00000939	28	45	111	34
E00000940	10	26	93	16
E00000941	22	37	98	22
E00000942	13	21	40	4
E00000943	13	24	57	14
E00000944	12	48	101	27
E00000945	14	37	85	26
E00000946	28	49	72	11
E00000947	19	28	76	29
E00000948	28	33	107	41
E00000949	9	25	66	15
E00000950	23	24	95	24
E00000951	25	35	92	37
E00000952	21	31	93	17
E00000953	29	52	121	37
E00000954	27	34	107	34
E00000955	24	35	119	25
E00000956	22	37	98	21
E00000957	26	60	131	26
E00000958	16	53	131	38
E00000959	20	27	117	25
E00000960	15	34	108	32
E00000961	16	34	115	20
E00000962	12	31	66	12
E00000963	15	32	80	7
E00000964	11	27	105	10
E00000965	11	26	55	15
E00000966	16	29	67	17
E00000967	9	35	67	21
E00000968	16	52	139	35
E00000969	16	25	61	19
E00000970	14	25	80	25
E00000971	18	26	71	30
E00000972	30	33	82	41
E00000973	15	29	110	32
E00000974	20	24	101	35
E00000975	9	29	84	33
E00000976	19	27	85	12
