code	AB Upper Middle Class	C1 Lower Middle Class	C2 Skilled Working Class	DE Working Class
E00000556	16	29	15	21
E00000557	8	23	19	31
E00000558	13	28	24	31
E00000559	9	28	37	31
E00000560	11	45	23	18
E00000561	21	44	18	16
E00000562	20	52	17	15
E00000563	11	18	16	21
E00000564	24	24	20	12
E00000565	14	31	26	21
E00000566	21	62	32	53
E00000567	13	32	25	29
E00000568	17	29	21	48
E00000569	13	29	28	15
E00000570	15	22	17	18
E00000571	23	48	26	18
E00000572	27	31	18	29
E00000573	29	54	21	44
E00000574	15	36	12	23
E00000575	14	39	25	22
E00000576	28	30	20	12
E00000577	16	25	15	27
E00000578	43	24	12	8
E00000579	34	35	17	14
E00000580	38	32	9	7
E00000581	56	56	25	31
E00000582	79	48	17	25
E00000583	35	61	29	29
E00000584	24	36	19	18
E00000585	24	37	18	13
E00000586	30	25	16	12
E00000587	25	39	15	16
E00000588	38	38	9	10
E00000589	20	32	24	13
E00000590	20	38	17	20
E00000591	33	21	14	16
E00000592	14	35	14	37
E00000593	32	28	18	14
E00000594	25	32	20	12
E00000595	14	29	20	64
E00000596	41	34	17	14
E00000597	23	34	15	14
E00000598	43	36	17	10
E00000599	14	34	23	49
E00000600	35	36	27	7
E00000601	32	28	13	19
E00000602	35	47	22	23
E00000603	24	34	24	23
E00000604	31	54	27	13
E00000605	38	29	23	24
E00000606	28	31	20	28
E00000607	16	34	21	26
E00000608	30	35	15	15
E00000609	40	50	22	50
E00000610	30	34	13	14
E00000611	25	25	15	9
E00000612	32	30	14	11
E00000613	31	41	11	9
E00000614	35	30	13	6
E00000615	36	29	19	4
E00000616	39	31	16	22
E00000617	28	42	24	13
E00000618	20	26	18	17
E00000619	39	22	6	12
E00000620	27	42	19	12
E00000622	10	25	12	35
E00000623	12	35	28	30
E00000624	35	33	21	28
E00000625	14	32	29	38
E00000626	21	25	15	32
E00000627	6	35	17	57
E00000628	13	20	27	39
E00000629	17	31	20	28
E00000630	16	20	18	35
E00000631	16	31	26	33
E00000632	7	16	21	38
E00000633	7	27	23	47
E00000634	16	35	28	29
E00000635	13	29	15	25
E00000636	12	35	26	28
E00000637	11	26	23	36
E00000638	15	35	30	44
E00000640	11	30	17	36
E00000641	7	26	27	31
E00000642	10	22	29	31
E00000643	32	26	19	24
E00000644	15	29	24	25
E00000645	11	25	22	35
E00000646	10	20	16	44
E00000647	6	34	25	39
E00000648	14	33	24	32
E00000649	26	29	33	28
E00000650	9	30	23	39
E00000651	15	24	14	35
E00000652	19	35	19	40
E00000653	16	31	18	40
E00000654	15	28	15	33
E00000655	24	38	23	27
E00000656	22	36	21	27
E00000657	17	33	32	48
E00000658	10	28	40	50
E00000659	9	25	15	27
E00000660	9	30	21	34
E00000661	26	35	25	21
E00000662	10	32	27	21
E00000663	3	17	20	37
E00000664	3	18	11	30
E00000665	27	53	32	54
E00000666	8	34	26	51
E00000667	9	29	32	40
E00000668	23	42	15	42
E00000669	34	33	17	27
E00000670	31	28	16	21
E00000671	38	34	12	12
E00000672	35	46	9	8
E00000674	47	29	12	19
E00000675	42	38	12	25
E00000676	40	38	24	14
E00000677	21	41	31	40
E00000678	20	37	19	33
E00000679	31	34	20	31
E00000680	19	39	18	40
E00000681	28	46	30	34
E00000682	24	25	12	31
E00000683	13	24	20	41
E00000684	22	37	28	47
E00000685	29	40	35	52
E00000686	24	40	24	30
E00000687	47	23	11	19
E00000688	38	32	9	11
E00000689	31	27	4	13
E00000690	42	15	7	12
E00000691	35	31	12	12
E00000692	32	35	10	18
E00000693	44	42	10	17
E00000694	53	40	5	11
E00000695	33	27	7	23
E00000696	51	58	15	50
E00000697	53	24	2	10
E00000698	54	41	13	19
E00000699	41	43	10	9
E00000700	54	50	6	9
E00000701	42	27	7	17
E00000702	53	44	21	40
E00000703	45	22	8	3
E00000704	31	31	7	9
E00000705	59	33	4	4
E00000706	42	30	10	13
E00000707	59	27	8	7
E00000708	46	28	8	9
E00000709	22	44	30	34
E00000710	17	43	17	35
E00000711	32	35	11	35
E00000712	31	31	11	19
E00000713	40	32	11	17
E00000714	29	34	8	22
E00000715	29	43	20	28
E00000716	38	54	17	19
E00000717	16	36	15	32
E00000718	19	34	14	28
E00000719	35	41	25	34
E00000720	17	35	22	27
E00000721	18	48	27	44
E00000722	50	21	4	11
E00000723	20	38	26	27
E00000724	22	18	14	23
E00000725	23	34	22	20
E00000726	16	39	25	24
E00000727	20	36	18	24
E00000728	29	20	25	19
E00000729	28	27	24	19
E00000730	17	29	35	24
E00000731	22	37	22	21
E00000732	17	33	28	30
E00000733	29	30	17	20
E00000734	22	31	13	24
E00000736	15	29	16	33
E00000737	4	27	19	45
E00000738	11	30	20	45
E00000739	10	27	26	34
E00000740	11	22	20	27
E00000742	8	28	17	50
E00000743	7	16	17	51
E00000744	12	30	20	53
E00000745	10	28	20	44
E00000746	11	25	28	64
E00000747	13	18	24	49
E00000748	24	29	22	44
E00000749	9	39	24	47
E00000750	9	29	15	52
E00000751	14	20	24	43
E00000752	13	35	23	31
E00000754	11	24	22	42
E00000755	32	33	20	27
E00000756	24	40	21	42
E00000757	30	42	21	41
E00000758	22	31	20	22
E00000760	12	32	15	27
E00000761	25	29	27	20
E00000762	21	28	8	16
E00000763	11	25	18	41
E00000764	18	28	35	33
E00000765	20	44	19	30
E00000766	38	64	33	59
E00000767	14	29	21	38
E00000768	17	25	13	26
E00000769	85	40	9	12
E00000770	55	42	14	13
E00000771	31	24	16	17
E00000772	28	41	15	29
E00000773	18	39	23	48
E00000774	23	43	24	26
E00000775	61	35	13	15
E00000776	49	46	26	28
E00000777	33	44	18	19
E00000778	44	44	16	33
E00000779	42	37	12	16
E00000780	31	21	19	20
E00000781	29	37	14	33
E00000782	22	46	30	27
E00000783	28	36	23	23
E00000785	36	46	17	16
E00000786	56	51	21	22
E00000787	54	36	16	24
E00000788	27	28	17	21
E00000789	16	30	24	38
E00000790	22	42	17	27
E00000791	33	27	28	27
E00000792	23	36	19	29
E00000793	31	52	20	27
E00000794	20	27	23	39
E00000795	40	47	19	22
E00000796	16	27	14	41
E00000797	39	43	8	23
E00000798	35	44	17	17
E00000799	42	31	16	17
E00000800	42	40	12	19
E00000801	42	51	20	14
E00000802	23	17	24	38
E00000803	39	39	19	10
E00000804	56	55	14	13
E00000805	58	40	17	11
E00000806	31	32	16	7
E00000807	11	28	15	37
E00000808	29	39	11	25
E00000809	9	15	18	34
E00000810	27	31	10	24
E00000811	28	31	12	10
E00000812	42	38	13	10
E00000813	38	59	19	30
E00000814	31	34	9	10
E00000815	33	33	16	17
E00000816	42	34	16	18
E00000817	47	28	12	11
E00000818	41	38	11	25
E00000819	23	29	12	21
E00000820	34	24	16	10
E00000821	31	32	16	21
E00000822	28	30	13	13
E00000823	34	41	20	31
E00000824	20	23	15	19
E00000825	30	44	22	16
E00000826	20	36	17	18
E00000827	35	30	11	14
E00000828	26	27	14	9
E00000829	45	37	9	16
E00000830	31	54	31	38
E00000831	45	31	18	10
E00000832	32	32	11	12
E00000833	20	34	20	27
E00000834	31	32	5	7
E00000835	22	32	7	6
E00000836	42	20	15	3
E00000837	17	24	7	21
E00000838	32	45	14	22
E00000839	30	27	12	8
E00000840	40	55	12	22
E00000841	31	28	6	6
E00000842	21	34	19	25
E00000843	44	59	18	31
E00000844	26	29	10	6
E00000845	22	36	11	21
E00000846	21	37	22	29
E00000847	30	34	10	12
E00000848	25	39	17	11
E00000849	23	34	15	28
E00000850	22	25	17	10
E00000851	32	45	24	41
E00000852	25	37	17	10
E00000853	16	44	28	30
E00000854	28	31	18	18
E00000855	30	52	33	23
E00000856	30	47	19	8
E00000857	34	49	11	8
E00000858	44	37	24	14
E00000859	27	40	14	18
E00000860	37	32	16	7
E00000861	29	29	14	5
E00000862	45	46	11	12
E00000863	30	29	16	14
E00000864	30	27	23	19
E00000865	17	31	26	36
E00000866	36	54	14	7
E00000867	24	29	28	26
E00000868	14	33	18	25
E00000869	24	36	17	25
E00000870	50	27	13	11
E00000871	49	42	2	5
E00000872	12	32	24	30
E00000873	55	23	0	6
E00000874	17	19	5	4
E00000875	45	20	6	4
E00000876	49	24	5	3
E00000877	60	27	9	6
E00000878	28	31	16	13
E00000879	26	33	24	42
E00000880	15	21	15	37
E00000881	18	39	16	37
E00000882	14	32	22	27
E00000883	53	24	13	7
E00000884	26	27	14	23
E00000885	17	28	18	39
E00000886	33	36	11	11
E00000887	20	27	20	27
E00000888	61	33	8	12
